year,city,male_births,female_births,total_births,bbmp_total_births,male_deaths,female_deaths,total_deaths,bbmp_total_deaths
2001,Bengaluru,51141,57858,108999,87529,24488,20040,44528,35871
2002,Bengaluru,55695,50023,105718,87287,23921,15087,39008,30725
2003,Bengaluru,49377,50886,100263,74345,18510,17264,35774,29789
2004,Bengaluru,57298,51914,109212,81629,22466,14647,37113,29987
2005,Bengaluru,52709,48662,101371,81969,20975,16858,37833,30241
2006,Bengaluru,51288,47774,99062,83392,21045,15482,36527,29311
2007,Bengaluru,57487,53756,111243,106974,24793,15901,40694,35095
2008,Bengaluru,56911,50437,107348,96780,21629,12944,34573,30608
2009,Bengaluru,59226,57671,116897,107599,24412,12297,36709,33813
2010,Bengaluru,58695,57049,115744,107815,24778,14002,38780,36051
2011,Bengaluru,68723,63870,132593,125556,31587,19795,51382,48390
2012,Bengaluru,76958,73624,150582,143830,32643,18708,51351,46703
2013,Bengaluru,75268,72428,147696,140065,30114,20406,50520,46626
2014,Bengaluru,77900,76056,153956,143485,34913,22704,57617,50514
2015,Bengaluru,82380,76892,159272,150990,37170,24526,61696,57111
2016,Bengaluru,82862,77299,160161,148969,38119,24686,62805,56198
2017,Bengaluru,81238,76590,157828,146036,41481,25921,67402,59384
2018,Bengaluru,79409,74595,154004,143693,41405,25795,67200,59423
2019,Bengaluru,82240,76941,159181,148614,44031,28830,72861,65019
2020,Bengaluru,74438,69748,144186,135556,51854,32332,84186,75441
2021,Bengaluru,63922,60492,124414,116590,54119,36477,90596,87220
2022,Bengaluru,76351,72475,148826,138097,48014,31616,79630,69836
2023,Bengaluru,82910,77715,160625,148751,47738,31647,79385,69755
2024,Bengaluru,81291,76131,157422,144115,41308,28234,69542,57918
