city,ward_name,facility_type,facility_name,address,beds
Mumbai,A,Govt,"Gokuldas Tejpal Hospital, Fort","Chhatrapati Shivaji Terminus Area, Fort",621
Mumbai,A,BMC,ENT Hospital,"Maharshi Dadhichi Marg, Azad Maidan",100
Mumbai,A,Govt,St George Hospital,"Chhatrapati Shivaji Terminus Area, Fort",467
Mumbai,A,Govt,Cama & Albless Hospital,"Dhobi Talao, Chhatrapati Shivaji Terminus Area",505
Mumbai,A,Defence,INS Ashwini Hospital,"Navy Nagar, Colaba,",101
Mumbai,A,Private,Bombay Hospital,"Near Liberty Cinema, New Marine Lines,",732
Mumbai,A,Private,Indu Clinic,"Wodehouse Road, Colaba",12
Mumbai,B,Private,Noor Hospital,Masjid Bunder,92
Mumbai,B,Private,Habib Hospital,"Jail Road, Near Imam Husain Chowk",76
Mumbai,B,Private,Dholkawala Maternity and Nursing Home,"Mohammed Ali Rd, Masjid Bandar",25
Mumbai,B,Private,M H Saboo Siddique Hospital,"Imamwada Road, Opp. Mughal Masjid",95
Mumbai,B,Private,Haji Karim Maternity and Child Care,"Mohammed Ali Rd, Masjid Banda",14
Mumbai,D,Private,Breach Candy Hospital Trust,"Breach Candy, Cumballa Hill",213
Mumbai,D,Private,Bhatia Hospital Multidisciplinary,"Tardeo Road,",155
Mumbai,D,Private,Jaslok Hospital & Research Centre,"IT Colony, Tardeo",448
Mumbai,D,Private,Saifee Hospital,"15/17, Maharshi Karve Rd, opposite Charni Road, Charni Road East",254
Mumbai,D,Private,Sir H.N.Hospital & Research Centre,Girgaon,350
Mumbai,D,Private,The B.D.Petit Parsee Gen Hosp,"Bomanji Petit Marg, Cumballa Hill",220
Mumbai,D,Private,Apollo Speciaity Hospitals Pvt Ltd,"Behind Everest Building, Tardeo",24
Mumbai,D,Private,Bay-View Clinic,,22
Mumbai,D,Private,Beramji's Hospital,,32
Mumbai,D,Private,Bombay City Eye Institute And Research Centre,,3
Mumbai,D,Private,Bombay Maternity And Nursing Home,,12
Mumbai,D,Private,Brahman Sabha Mhaskar Sutika Gruha & Gen N,,41
Mumbai,D,Private,Chowpatty Maternity & Gyn Hospital,,15
Mumbai,D,Private,Comfort Clinic Nursing Home,,8
Mumbai,D,Private,Conwest Jain Clinic Group Of Hosp,,94
Mumbai,D,Private,Cumballa Hill Hospital & Heart Inst,,53
Mumbai,D,Private,Dr Amonkar Hospital-Managed By P Patil Nurs. Home,,15
Mumbai,D,Private,Dr Duru Shah Gynaec World,,5
Mumbai,D,Private,Dr Gala's Nursing Home,,2
Mumbai,D,Private,Dr Garg Medical Centre,,3
Mumbai,D,Private,Dr H D Gandhi Memorial Hospital,,10
