city,facility_name,facility_type,beds,ward,address
Pune,Sassoon General Hospital,Govt,1500,Pune Cantonment,"Sassoon Road, Pune Cantonment"
Pune,B.J. Medical College Hospital,Govt,1200,Pune Cantonment,"B.J. Medical College Campus, Pune"
Pune,KEM Hospital,Govt,800,Pune,"Rasta Peth, Pune"
Pune,Noble Hospital,Private,250,Koregaon Park,"Koregaon Park, Pune"
Pune,Jehangir Hospital,Private,300,Bund Garden Road,"Bund Garden Road, Pune"
Pune,Ruby Hall Clinic,Private,350,Pune Cantonment,"Sassoon Road, Pune Cantonment"
Pune,Aditya Birla Memorial Hospital,Private,400,Chinchwad,"Chinchwad, Pune"
Pune,Columbia Asia Hospital,Private,200,Kharadi,"Kharadi, Pune"
Pune,Jahangir Hospital,Private,280,Bund Garden Road,"Bund Garden Road, Pune"
Pune,Sancheti Hospital,Private,150,Shivaji Nagar,"Shivaji Nagar, Pune"
Pune,Deenanath Mangeshkar Hospital,Private,180,Erandwane,"Erandwane, Pune"
Pune,Starkey Hospital,Private,120,Kothrud,"Kothrud, Pune"
Pune,Inlaks and Budhrani Hospital,Private,160,Koregaon Park,"Koregaon Park, Pune"
Pune,Chellaram Hospital,Private,100,Pune Camp,"Pune Camp, Pune"
Pune,Hardikar Hospital,Private,90,Shivaji Nagar,"Shivaji Nagar, Pune"
Pune,Mayo Hospital,Govt,400,Pune Cantonment,"Pune Cantonment, Pune"
Pune,YCM Hospital,Govt,500,Pimpri,"Pimpri, Pune"
Pune,Dr. DY Patil Hospital,Private,250,Pimpri,"Pimpri, Pune"
Pune,Manpa Hospital,Govt,300,Nigdi,"Nigdi, Pune"
Pune,PCMC Hospital,Govt,350,Pimpri,"Pimpri, Pune"
Pune,Shivaji Nagar PMC Health Centre,PMC,0,Shivaji Nagar,"Shivaji Nagar, Pune"
Pune,Kasarwadi PMC Health Centre,PMC,0,Kasarwadi,"Kasarwadi, Pune"
Pune,Bibvewadi PMC Health Centre,PMC,0,Bibvewadi,"Bibvewadi, Pune"
Pune,Hadapsar PMC Health Centre,PMC,0,Hadapsar,"Hadapsar, Pune"
Pune,Kondhwa PMC Health Centre,PMC,0,Kondhwa,"Kondhwa, Pune"
Pune,Wanowrie PMC Health Centre,PMC,0,Wanowrie,"Wanowrie, Pune"
Pune,Dhankawadi PMC Health Centre,PMC,0,Dhankawadi,"Dhankawadi, Pune"
Pune,Katraj PMC Health Centre,PMC,0,Katraj,"Katraj, Pune"
Pune,Warje PMC Health Centre,PMC,0,Warje,"Warje, Pune"
Pune,Sinhgad Road PMC Health Centre,PMC,0,Sinhgad Road,"Sinhgad Road, Pune"
