record_id,city_id,city_name,year_month,avg_aqi,avg_rent_1bhk,avg_rent_2bhk,job_postings_index,avg_salary_offered,cost_of_living_index,hospital_utilization_rate,disease_outbreak_flag,rainfall_mm,temperature_avg
1,1,Mumbai,2023-01,138.7,38300,60294,74.8,584432,98.6,84.0,0,14.3,31.3
2,1,Mumbai,2023-02,121.0,37218,60573,78.9,561420,99.0,80.6,0,14.5,32.3
3,1,Mumbai,2023-03,120.6,37782,62091,77.3,562064,101.6,58.6,0,2.1,26.9
4,1,Mumbai,2023-04,120.4,39660,64792,79.1,533455,102.0,60.7,0,2.6,24.7
5,1,Mumbai,2023-05,96.1,39637,61412,79.3,565282,101.7,57.6,0,7.4,24.3
6,1,Mumbai,2023-06,83.8,39690,63267,75.7,543219,103.0,65.9,0,510.1,33.4
7,1,Mumbai,2023-07,60.5,38128,61827,76.7,588555,101.7,66.5,0,308.5,32.3
8,1,Mumbai,2023-08,75.9,39641,64129,87.2,537031,102.7,72.2,1,279.5,24.1
9,1,Mumbai,2023-09,79.5,37407,62284,86.6,579447,101.3,65.4,0,449.3,27.3
10,1,Mumbai,2023-10,96.0,39045,64769,83.3,565513,102.2,45.6,1,10.7,31.6
11,1,Mumbai,2023-11,121.6,38977,65622,81.5,590935,101.5,76.6,0,9.5,27.1
12,1,Mumbai,2023-12,134.5,40007,64385,88.2,550575,104.3,89.9,0,2.4,33.3
13,1,Mumbai,2024-01,160.4,37919,62470,88.5,601564,102.7,72.1,0,13.4,27.2
14,1,Mumbai,2024-02,140.9,38725,66283,83.6,591381,102.5,79.3,0,3.3,25.2
15,1,Mumbai,2024-03,138.1,38703,63065,85.3,577987,101.6,46.2,0,3.8,29.0
16,1,Mumbai,2024-04,135.4,39392,66824,86.4,598592,102.7,50.5,0,3.6,25.4
17,1,Mumbai,2024-05,108.4,39633,62367,80.6,557270,105.4,45.9,0,9.5,30.3
18,1,Mumbai,2024-06,72.1,38748,65386,86.9,573533,102.9,83.7,0,206.6,29.1
19,1,Mumbai,2024-07,58.6,40909,63535,89.2,587496,105.2,75.6,0,245.4,33.2
20,1,Mumbai,2024-08,48.7,40229,64109,87.7,614509,104.1,82.7,0,558.9,33.0
21,1,Mumbai,2024-09,70.7,41172,65654,77.3,598437,102.9,45.1,0,233.7,25.6
22,1,Mumbai,2024-10,117.4,39113,66363,81.2,606108,104.1,59.9,0,10.4,30.5
23,1,Mumbai,2024-11,152.9,39666,64181,92.2,580890,104.4,89.8,0,8.5,24.9
24,1,Mumbai,2024-12,159.7,40161,63966,80.7,554382,106.7,84.9,0,7.5,29.8
25,2,Bengaluru,2023-01,78.4,25730,40372,93.6,645399,86.5,91.3,0,19.1,21.4
26,2,Bengaluru,2023-02,54.4,25683,40992,103.9,625851,85.4,83.4,0,7.7,28.5
27,2,Bengaluru,2023-03,66.3,26168,43484,99.9,627918,86.2,53.3,0,19.8,21.4
28,2,Bengaluru,2023-04,73.5,27061,42353,102.4,625352,85.6,61.1,0,16.2,28.7
29,2,Bengaluru,2023-05,76.5,25407,42686,96.6,618450,84.3,51.6,0,6.8,23.8
30,2,Bengaluru,2023-06,44.5,26031,41256,103.1,594169,86.1,77.5,0,85.2,28.2
31,2,Bengaluru,2023-07,45.3,26680,43401,98.7,604118,87.9,80.9,0,154.4,25.4
32,2,Bengaluru,2023-08,59.7,27434,43884,97.2,593729,87.2,68.1,0,91.0,20.3
33,2,Bengaluru,2023-09,63.8,26053,44399,100.6,630069,87.5,54.7,0,180.0,26.6
34,2,Bengaluru,2023-10,56.6,25768,41385,107.2,638945,85.3,55.9,1,75.5,20.1
